;Pregunta;respuesta;
1;¿Qué es un supletorio?;Es un examen extemporaneo que se realiza cuando se presenta alguna situación fortuita;
2;¿ A dónde debo dirigirme si necesito un supletorio?;Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa;
3;¿Qué precio tiene un supletorio?;$206.940 para el año 2025;
4;¿Dónde puedo reclamar la plantilla para las horas de servicio?;En Bienestar Universitario ;
5;¿Cuántas horas de servicio debo realizar?;Usualmente son 32 horas, pero puede variar segun Beca optenida. Por lo cual debes validar la información con Bienestar Universitario.;
6;¿Cuál es el plazo tengo que para entregar la plantilla de horas sociales?;Se entrega al terminar las clases y culminar el periodo académico ;
7;¿Dónde puedo hacer horas de servicio?;En cualquier dependencia de la Universidad;
8;¿ Qué sucede si realizo más horas de servicio de las requeridas?;Se pueden acumular para el próximo semestre;
9;¿Qué pasa si no alcanzo a completar las horas de servicio?;Tiene riesgo de que se suspenda la beca otorgada;
10;¿Qué pasa si pierdo una materia?;"Debes volver a matricular la asignatura con el fin de obtener una nota superior a 3.0. Esto implica que deberás pagar créditos adicionales en tu próximo semestre académico o, en su lugar, dejar de cursar una de las asignaturas programadas para ese semestre.
Ten en cuenta que, si la asignatura perdida es prerrequisito de otra, no podrás cursar la asignatura correspondiente hasta que la apruebes.";
11;¿Tiene algún costo adicional reprobar una materia?;Sí, el costo es correspondiente al número de créditos de la asignatura reprobada. ;
12; ¿Si pierdo una materia pierdo la beca?;No, siempre y cuando mantengas el promedio exigido en tu beca. ;
13;¿Dónde puedo entregar la plantilla de horas de servicio?;En Bienestar Universitario ;
14;¿Cómo puedo saber si se validaron mis horas de servicio?;El sistema deja matricular asignaturas y la beca sigue su curso normal ;
15;¿Dónde inscribo materias para el próximo semestre?;"Deberás estar pendiente de tu cita de matrícula, la cual será publicada en tu portal SAP una vez la Escuela te comunique activación de las mismas. En dicha citación se indicará el día y la hora en que deberás ingresar a SAP para matricular las asignaturas correspondientes a tu siguiente semestre, según tu plan de estudios.
Si no logras hacerlo en el horario asignado, podrás realizar la matrícula después de las 7:00 p.m., una vez hayan finalizado todas las citaciones.";
16;¿Qué hago si tengo dos materias en el mismo horario?;"El sistema no lo permite; sin embargo, en caso de que llegue a ocurrir, por favor notifica de inmediato a la Dirección para proceder con la inscripción de una nueva asignatura o la corrección del error, según corresponda.
Es importante que informes cualquier situación, ya que omitirlo podría ocasionar la pérdida de alguna de las dos asignaturas.";
17;¿Qué debo hacer si tengo dos parciales al mismo tiempo?;Las fechas de parciales son definidas en acuerdo con el docente, a menos que se trate de una asignatura departamental. Por ello, es importante que lleves un control de tus evaluaciones. En caso de no poder evitar el cruce de horarios, deberás solicitar examen diferido para una de las asignaturas involucradas.;
18;¿Cómo puedo cambiarme de profesor?;Se debe realizar la solicitud de cambio de asignatura con otro docente antes de la segunda semana de clases, el cambio se realizará solo si hay disponibilidad de cupos.  ;
19;¿Hasta cuándo puedo cancelar una materia?;Hasta la segunda semana de clases o según indicación de calendario académico.;
20;¿Dónde se realiza el trámite para cancelar una materia?;Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa;
21;¿Por qué motivos puedo cancelar una materia?;Si realizas la cancelación dentro de las fechas establecidas no importará el motivo de cancelación, pero si por el contrario se realiza la solicitud luego de las mismas se debera esclar la solicitud al comité académico, quien solo tendra encuenta la solciitud si corresponde a un caso de fuerza mayor. ;
22;¿Tiene algún costo o penalización al cancelar una materia?;Sí, el costo es correspondiente al número de créditos de la asignatura retirada. ;
23;¿Qué es una tutoría?;Es una asesoria personalizada bridada por un profesor para solucionar dudas, es importante tener en cuenta que no es una clase imparida. ;
24;¿Dónde puedo solicitar una tutoría?;A través de la página web de la Universidad, ingresa a la sección Comunidad, luego selecciona Estudiantes y haz clic en Tutorías.;
25;¿Cuántas tutorías puedo pedir al semestre?;Las que necesite el estudiante, no tiene un número limite determinado;
26;¿Con cuanto tiempo de anticipación debo solicitar una tutoría?;24 horas;
27;¿Qué es una monitoría?;Es una asesoria personalizada bridada por un estudiante seleccionado con antelación para brindar este servicio;
28;¿Dónde puedo pedir una monitoría?;Con coordinación de monitores, area administrativa de la ECEI.;
29;¿Cuántas monitorías puedo solicitar al semestre?;Las que el estudiante requiera;
30;¿Las monitorias tienen algún costo?;No;
31;¿Las tutorías tiene algún costo?;No;
32;¿Con cuánto tiempo de anticipación debo pedir una monitoria?;24 horas de antelación ;
33;¿Qué diferencia hay entre una tutoría y una monitoria?;Una tutoria es brindada por un docente, una monitoria la brinda un estudiante que aplica previamente para ejercer tal rol ;
34;¿Dónde puedo solicitar un certificado de estudio?;Se puede generar por SAP y lo emite Secretaria General ;
35;¿Cuánto tiempo se demora un certificado de estudio?;Tres dias hábiles;
36;¿Cuál es el costo de un certificado de estudio?;$14.080;
37;¿Dónde puedo reclamar un certificado de estudio?;El certificado de estudios es solicitado por el estudiante a través del portal SAP. Una vez solicitado, el certificado será enviado al correo institucional del estudiante en un plazo de cinco días hábiles.;
38;¿Cuándo están disponibles los recibos de pago?;Desde la Escuela se emitira comunicado de disponibilidad de recibos de pago para el siguiente semestre académico. ;
39;¿Dónde puedo descargar los recibos de pago?;Se puede descargar en la pagina principal de la universidad ( pagos en lines);
40;¿Cuáles son los medios de pago disponibles para el semestre?;"Pago virtual en la página de la Universidad PAGOS EN LÍNEA. (Opción financiación)?  
Entidad bancaria que aparece en el recibo en efectivo.   
En ventanilla de caja de la Universidad (tarjetas o cheque de cesantías).   ";
41;¿Cómo me puedo cambiar de carrera?;Deberas notificar inicialmente a la dirección de tu programa la intención de cambio de programa, luego acercarte a admisiones para iniciar tu proceso con el nuevo programa, esto implica entrevista, estudio de homologación al nuevo programa y generación de recibo en caso de ser aprobado el cambio. ;
42;¿Puedo homologar materias al cambiarme de carrera?;Si;
43;¿Dónde se realiza la homologación de materias?;Deben enviar la solicitud al correo ecei@usa.edu.co o con las asitentes del programa si corresponden a programas de la Escuela;
44;¿Tiene algún costo la homologación de materias?;$710.370;
45;¿Quién es el director o directora de la carrera Ingenieria Industrial?;Diany Puccini;
46;¿Quién es el director o directora de la carrera Ingenieria Ambiental?;Maria Clara Sanchez;
47;¿Quién es el director o directora de la carrera Ingenieria Electronica?;Camilo Salazar;
48;¿Quién es el director o directora de la carrera Matemáticas?;Marta Corrales;
49;¿Quién es el director o directora de la carrera Ciencias de la computacion e inteligencia artificial?;Camilo Salazar;
50;¿Quién es el Decano o decana de la escuela?;Luis Alejandro Angel Acosta;
