PREGUNTA,RESPUESTA
¿Qué debo tener en cuenta antes de realizar mi horario?,"1. Revisar el simulador de horarios disponible en la página web para tener opciones de inscripción. 2. Validar en SAP la fecha de asignación de matrícula, recuerda que la misma es determinada por promedio acumulado de permanencia. 3. Verificar que no tenga bloqueo por documentos, en caso de tenerlo remitir solicitud de retiro al correo ecei@usa.edu.co. 4. Proceder a la inscripción de asignaturas."
¿Qué debo hacer si no me permite hacer horario por bloqueo?,"Si tu bloqueo es por documentos, solicita el retiro del mismo al correo ecei@usa.edu.co. Si es financiero, contacta a apoyo financiero."
¿Es posible matricular asignaturas antes de la fecha asignada por el sistema?,"No, el sistema determina la fecha y hora de inscripción teniendo en cuenta el promedio acumulado de permanencia, para evitar congestión al realizar la matrícula."
¿Qué debo hacer si el sistema solo me permite matricular algunos créditos o no me permite matricular?,Comunícate con coordinación académica. Puede que estés en normativa académica por tener un promedio acumulado de permanencia inferior a 3.3.
¿Qué debo hacer si ya pasó el día y/o hora asignada para matrícula?,"Todas las noches, luego de las 7:00 p.m., se habilitará el sistema para matrícula y/o cambios hasta el cierre de fechas de matrículas, si ya pasó tu cita asignada."
¿Es posible la apertura de cupos para una asignatura?,"No, las asignaturas se ofertan según el pronóstico de aspirantes y capacidad de espacios. Debes optar por otra asignatura."
¿Qué debo hacer en caso de cruce de horario?,"Consulta el simulador de horarios para evitar cruces. Si se presenta un cruce, debes optar por otra asignatura. No se pueden hacer modificaciones que afecten a otros estudiantes ya inscritos."
¿Es posible el cierre de asignaturas ya ofertadas?,"Sí, se exige contar con mínimo 7 estudiantes matriculados. Si no se cumple, la asignatura no puede ofertarse y se cierra el grupo."
¿Cómo debo gestionar una incapacidad médica?,"Preséntala al centro médico de la universidad para su legalización. Ellos notificarán a la escuela y justificarán las fallas en el sistema. Las fallas se justifican, no se retiran."
¿Con cuántas fallas pierdo una asignatura?,Debes cumplir con el 80% de asistencia según el reglamento estudiantil. Esto se calcula en base al número de horas semanales por las 16 semanas del semestre académico.
¿Qué debo hacer para postularme a grados?,"Una vez completes tu plan de estudios, incluyendo práctica profesional y opción de grado, postúlate a la Fase I del proceso para obtener tu Marcación como futuro egresado en el siguiente link."
¿Qué opciones de grado se encuentran ofertadas?,"- Trabajo de grado - Estudio coterminal - Plan de negocios - Semilleros - Ingeniería humanitaria - Práctica profesional Solo válido para estudiantes de los programas de Ciencias de la computación e IA, Ingeniería Electrónica y Matemáticas que pertenecen al nuevo plan de estudios."
¿En qué consiste el trabajo de grado?,"Es una modalidad que permite a un estudiante, o grupo de estudiantes, desarrollar un trabajo teórico o experimental aplicando conocimientos adquiridos durante la formación profesional para la solución de un problema, necesidad o servicio, el cual debe ser delimitado y alcanzable. Más información: - Director de Ingeniería y Tecnología: Rafael Cerpa (rafael.cerpa@usa.edu.co) - Directora de Ingeniería y Medio Ambiente: María Clara Sánchez (mariacla.sanchez@usa.edu.co) - Director de Ingeniería y Organización: Juan Sebastián Escobar (juan.escobar02@usa.edu.co) - Directora de Ciencias Básicas y Matemáticas: Marta Corrales (martha.corrales@usa.edu.co)"
¿En qué consiste el estudio coterminal como opción de grado?,"Permite que el estudiante profundice en un área del conocimiento desarrollando competencias profesionales cursando y aprobando un mínimo de 8 créditos académicos ofertados por los programas de posgrado de la Escuela de Ciencias Exactas e Ingeniería de la Universidad Sergio Arboleda. Autorización: Haber aprobado el 85% de los créditos académicos y solicitar la carta de autorización junto con tu nombre completo, número de identificación y nombre del programa de posgrado elegido al correo: heyly.casteblanco@usa.edu.co. Más información: link"
¿En qué consiste el plan de negocios como opción de grado?,"Transformar Sueños en Empresa es un programa de aceleración empresarial que ofrece a los emprendedores capacitación, herramientas y metodologías para ayudar a impulsar sus negocios de manera exponencial y sostenible. Más información: nubia.chavez@usa.edu.co o WhatsApp 3148518483."
¿En qué consiste semilleros como opción de grado?,"Es un escenario académico que promueve desde el aprendizaje experiencial la iniciación en investigación científica, desarrollo tecnológico, creación artística y cultural, o innovación. El estudiante debe estar inscrito durante no menos de un (1) año, dos semestres lectivos consecutivos. Más información: - Ciencias de la Computación e Inteligencia Artificial, Ingeniería de Sistemas e Ingeniería Electrónica: Ing. Ronald Hurtado (ronald.hurtado@usa.edu.co) - Ingeniería Ambiental: Ellie López (ellie.lopez@usa.edu.co) - Ingeniería Industrial: Ing. Miguel Ariza (miguelan.ariza@usa.edu.co) - Matemáticas: Dra. Marta Corrales (martha.corrales@usa.edu.co)"
¿En qué consiste ingeniería humanitaria como opción de grado?,"Formación de profesionales capaces de co-crear soluciones de impacto con comunidades en situaciones de vulnerabilidad económica, social o ambiental, bajo la metodología de Aprendizaje Basado en Retos, donde el reto se define como una necesidad real de una fundación o comunidad. Más información: alejandro.ruiz@usa.edu.co"
¿En qué consiste la práctica profesional como opción de grado?,"Solo es válida para estudiantes de los programas de Ciencias de la Computación e IA, Ingeniería Electrónica y Matemáticas que pertenecen al nuevo plan de estudios. Más información: practicas.ecei@usa.edu.co"
¿Quién es la Coordinadora de Prácticas y Egresados?,Nombre: Sandra Rodríguez.
¿Cuáles son las funciones de la Coordinadora de Prácticas y Egresados en relación con las prácticas profesionales?,"- Realizar taller de inducción a práctica profesional. - Gestionar proceso de formalización y legalización de práctica profesional. - Hacer el seguimiento y acompañamiento a instancias de prácticas profesionales de inicio a cierre. - Elaborar informes de indicadores, hallazgos y gestión del proceso de práctica profesional."
¿Cuáles son las funciones de la Coordinadora de Prácticas y Egresados en relación con empresas?,"- Gestionar la base de datos de empresas. - Gestionar las visitas y salidas académicas empresariales. - Gestionar el relacionamiento con las empresas patrocinadoras de práctica profesional (portafolio educativo, convenios, proyectos aplicados, consultoría, educación continuada)."
¿Cuáles son las funciones de la Coordinadora de Prácticas y Egresados respecto a los egresados?,"- Gestionar espacios de contacto permanente con los egresados de las ofertas académicas. - Gestionar el indicador de egresados no graduados y graduados. - Gestionar la base de datos y ofertas de empleo de los egresados de la Escuela. - Difundir, diseñar y visibilizar instrumentos de evaluación e historias inspiradoras de los egresados de la Escuela. - Gestionar y realizar iniciativas de valor agregado para los egresados. - Organizar y gestionar eventos de premiación a egresados de la Escuela."
¿Cuáles son las funciones de la Coordinadora de Prácticas y Egresados en internacionalización?,"- Recibir y dar trámite a cartas de solicitudes especiales de los estudiantes según sea el caso. - Llevar una estadística de indicadores de resultado y de proceso para la internacionalización (comunicación oportuna de ofertas, formatos de intercambio, seguimiento al estudiante, convenios)."
